Periode,ID client,Nombre de retraits effectues par carte,Nombre d'operations carte,Nombre d'operations Hors carte,Total mouvement d'affaires,Encours crdit immo,Encours Crdit consommation amortisable,Encours Crdit consommation renouvelable,Encours Compte Epargne,Encours Compte Epargne terme,montant encours AV,Offre attribuée
AOUT,00-07-F3-D5,3,42.0,170.0,22084,55,0,0,0.0,3 585,27,Credit
AOUT,00-16-EC-76,3,35.0,140.0,8718,12,0,0,0.0,5 775,0,Credit
AOUT,00-2F-64-DD,0,0.0,36.0,780,0,30 275,0,0.0,24 097,50,Nouvelle Carte (Etudiants)
AOUT,00-59-58-E4,0,31.0,189.0,20354,70,0,0,0.0,1 484,10,Credit
AOUT,00-73-B8-E6,4,377.0,360.0,58322,50,0,0,0.0,29 322,38,Nouvelle Epargne écologique
AOUT,00-76-65-D4,0,0.0,185.0,31434,10,122 066,37,0.0,0,132,Credit
AOUT,00-76-6B-44,0,0.0,445.0,31172,35,0,0,0.0,0,0,Nouvelle Epargne écologique
AOUT,00-93-D3-76,0,49.0,14.0,350,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,00-9E-BD-4C,6,518.0,189.0,22905,96,0,1 930,25.0,0,3 150,Credit
AOUT,00-B8-91-CC,5,307.0,220.0,16271,80,0,0,0.0,0,0,Nouvelle Epargne écologique
AOUT,00-B9-E8-22,0,0.0,0.0,0,0,0,0,465.0,192,0,Nouvelle Carte (Etudiants)
AOUT,00-CF-B6-E0,3,9.0,28.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,00-D3-3D-F2,4,,324.0,39644,76,0,1150,11.0,0,3 167,Nouvelle Epargne écologique
AOUT,00-D3-40-3C,0,463.0,84.0,18877,20,0,0,0.0,36 907,50,Credit
AOUT,01-17-7A-D5,0,0.0,20.0,6696,36,0,0,0.0,1 784,52,Credit
AOUT,01-1E-39-9C,3,313.0,72.0,11325,54,0,0,0.0,1 695,20,Credit
AOUT,01-23-F9-B7,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,01-40-B3-9A,3,301.0,114.0,13204,56,0,0,0.0,0,0,Credit
